,city,latitude,temp,humidity,Wind_Speed,Cloudiness,longitude
333,aguimes,27.91,71.6,83,26.4,20,-15.45
334,lodwar,3.12,79.14,59,5.41,8,35.6
335,poronaysk,49.22,58.35,68,4.07,24,143.1
336,kingisepp,59.38,49.44,64,15.93,92,28.61
337,lebu,8.96,69.15,39,4.18,0,38.73
338,naberera,-4.2,67.17,87,4.63,88,36.93
339,jacareacanga,-6.22,74.55,96,2.06,8,-57.76
340,cajabamba,-1.7,35.76,88,0.38,12,-78.77
341,lubyany,56.04,41.0,86,11.18,40,51.4
342,itamaraca,-7.75,74.61,73,9.17,75,-34.83
343,nouakchott,18.08,84.36,86,9.66,24,-15.98
344,santa barbara,34.42,62.01,87,3.36,1,-119.7
345,palauig,15.44,80.22,96,5.3,88,119.9
346,krivosheino,57.34,63.03,70,6.98,0,83.93
347,barra do garcas,-15.89,71.31,81,2.95,0,-52.26
348,voh,-20.95,74.19,85,17.38,24,164.69
349,marshfield,42.09,71.19,100,5.82,90,-70.71
350,waddan,29.16,68.07,88,7.54,92,16.14
351,smithers,54.78,50.0,93,4.7,90,-127.17
352,whitianga,-36.83,58.26,100,13.8,68,175.7
353,stara vyzhivka,51.44,54.93,59,21.07,76,24.44
354,yendi,9.45,70.77,97,3.18,20,0.0
355,cabo san lucas,22.89,80.6,78,2.24,20,-109.91
356,parambu,-6.21,70.14,54,8.77,0,-40.7
357,hasaki,35.73,65.1,88,12.75,75,140.83
358,kisangani,0.52,74.73,95,2.06,64,25.21
359,kalmunai,7.42,86.61,78,3.96,20,81.82
360,tarsus,36.92,69.73,68,1.12,0,34.88
361,sidney,47.72,51.64,76,9.17,90,-104.16
362,leshukonskoye,64.9,42.06,97,11.79,92,45.76
363,hambantota,6.12,81.03,100,12.68,32,81.12
364,varhaug,58.61,48.2,93,4.7,75,5.65
365,willowmore,-33.3,51.96,57,4.63,0,23.49
366,tsumeb,-19.25,74.19,22,4.52,0,17.72
367,derazhnya,49.27,46.47,58,15.26,76,27.43
368,kirakira,-10.46,77.16,100,27.11,92,161.92
369,myitkyina,25.38,83.37,84,2.84,64,97.4
370,marbella,36.51,74.05,78,3.36,20,-4.89
371,raha,10.89,69.33,95,9.78,32,8.13
372,storslett,69.77,39.2,100,20.8,75,21.03
373,ugoofaaru,5.67,83.01,100,13.24,88,73.0
374,stromness,42.87,51.48,93,3.36,90,-79.55
375,ampanihy,-24.69,82.11,38,4.63,0,44.75
376,nuuk,64.17,41.0,100,21.92,92,-51.74
377,port-cartier,50.03,51.8,100,9.17,90,-66.88
378,san jose de guanipa,8.89,72.57,96,2.95,20,-64.17
379,kwekwe,-18.93,70.86,41,7.43,0,29.81
380,bontang,0.12,86.34,87,10.22,0,117.47
381,svirstroy,60.8,44.13,96,14.7,92,33.72
382,tavrichanka,43.33,68.0,49,6.71,40,131.86
383,tura,25.52,83.37,89,2.06,36,90.21
384,tshikapa,-6.42,76.8,86,3.29,0,20.79
385,pervoye maya,40.63,61.23,24,0.27,20,73.68
386,neiafu,-18.65,80.6,69,9.17,40,-173.98
387,nianzishan,47.51,69.69,39,14.03,0,122.88
388,asmar,35.03,79.41,29,2.39,24,71.36
389,palmer,-34.85,60.8,59,10.29,75,139.16
390,kandi,11.13,72.93,94,7.43,8,2.93
391,luanda,-8.83,73.4,83,4.7,75,13.24
392,assiniboia,49.63,45.66,74,14.7,88,-105.99
393,castro,-42.48,44.13,100,8.32,92,-73.76
394,nioro,13.79,75.99,89,8.21,0,-15.05
395,lagoa,37.14,75.2,78,14.99,0,-8.45
396,peniche,39.36,67.71,83,6.93,0,-9.38
397,northam,51.04,44.58,100,2.24,0,-4.21
398,muros,42.77,62.6,77,4.7,0,-9.06
399,margate,-43.03,68.0,32,19.46,0,147.26
400,kouango,4.99,70.95,96,5.3,24,19.98
401,shanghai,31.23,79.74,54,13.42,0,121.49
402,abalak,15.46,78.78,45,7.54,20,6.28
403,tezu,27.93,68.88,94,0.94,92,96.16
404,khandyga,62.65,51.06,64,3.85,48,135.58
405,hornepayne,49.22,42.06,91,5.53,36,-84.78
406,nyurba,63.29,55.47,54,3.62,24,118.35
407,laguna,27.52,77.07,74,1.95,0,-110.01
408,jizan,16.89,89.6,79,6.93,40,42.56
409,husavik,50.56,38.19,100,1.95,88,-96.99
410,mercedes,-33.25,60.24,86,17.27,88,-58.03
411,heidelberg,49.41,41.0,93,2.51,0,8.69
412,rio grande,-32.03,64.11,100,9.22,92,-52.1
413,dunedin,-45.87,44.22,85,5.53,36,170.5
414,hinton,53.4,40.53,98,2.39,92,-117.57
415,sidi ali,36.1,64.11,91,2.62,8,0.42
416,mangalam,12.6,89.6,52,5.82,40,80.07
417,quilmana,-12.95,54.39,91,1.83,0,-76.38
418,matara,-13.74,36.21,92,1.28,48,-72.9
419,hirara,24.8,87.8,70,20.8,75,125.28
420,masterton,-40.95,47.64,75,3.18,48,175.66
421,numan,9.46,72.75,97,10.45,64,12.04
422,mambajao,9.25,84.9,78,13.69,24,124.72
423,preston,53.76,58.1,93,5.82,75,-2.71
424,ulladulla,-35.36,69.8,46,14.99,0,150.48
425,loa janan,-0.58,90.39,61,3.96,8,117.09
426,honningsvag,70.98,41.0,86,27.51,75,25.97
427,salinopolis,-0.61,80.13,98,15.7,100,-47.36
428,nesbyen,60.57,40.8,65,4.18,36,9.1
429,dongying,37.43,73.56,55,4.74,12,118.67
430,vila franca do campo,37.72,73.4,88,17.22,40,-25.43
431,port shepstone,-30.74,68.25,94,18.5,0,30.45
432,porto novo,-23.68,68.0,94,3.18,40,-45.44
433,megion,61.04,60.8,59,8.95,0,76.11
434,grindavik,63.84,38.84,80,12.75,75,-22.43
435,lillesand,58.25,50.0,81,4.7,75,8.38
436,luderitz,-26.65,52.23,87,12.24,0,15.16
437,hede,60.45,44.6,59,11.41,0,15.49
438,jaca,42.57,53.6,93,3.36,24,-0.55
439,roebourne,-20.77,102.09,8,8.43,0,117.15
440,ajaccio,41.93,51.26,76,8.05,0,8.74
441,tahoua,14.89,73.56,68,5.08,12,5.26
442,bilma,18.69,72.84,27,2.95,0,12.92
443,soyo,-6.13,73.11,89,4.18,88,12.37
444,forio,40.73,58.91,51,19.46,0,13.86
445,ternuvate,47.83,39.2,100,4.47,0,36.13
446,suruc,36.98,69.8,60,8.05,0,38.42
447,kemise,10.72,66.27,44,1.72,0,39.87
448,naliya,23.26,90.66,52,10.33,0,68.83
449,korem,12.51,69.33,58,1.39,0,39.52
450,charters towers,-20.07,78.24,58,7.76,32,146.27
451,sorrento,-31.82,67.41,37,10.29,75,115.75
452,port macquarie,-31.43,66.2,59,11.41,64,152.91
453,sapernyy,59.78,48.2,66,20.13,20,30.69
454,fort nelson,58.81,44.6,70,4.7,75,-122.69
455,atar,20.52,68.88,38,5.64,0,-13.05
456,fare,-16.7,77.7,100,14.14,0,-151.02
457,sinfra,6.62,73.29,99,2.51,92,-5.91
458,palmares do sul,-30.26,68.0,88,3.36,40,-50.51
459,teodoro sampaio,-22.53,71.13,84,4.85,24,-52.17
460,ishigaki,24.34,78.8,88,27.51,75,124.16
461,dingle,11.0,85.71,65,13.8,48,122.67
462,auki,12.18,71.31,93,10.45,8,6.51
463,baker city,44.77,49.69,58,3.36,1,-117.83
464,gaya,24.8,87.8,70,9.17,20,85.01
465,knyaze-volkonskoye,48.46,64.4,42,4.47,0,135.46
466,borogontsy,62.67,56.19,56,3.74,24,131.17
467,kailua,21.39,78.76,100,3.36,75,-157.74
468,tongchuan,34.9,60.8,87,2.24,90,108.95
469,kazachinskoye,57.69,50.79,79,3.85,68,93.28
